concept_id,activation_rate,mean_abs,energy_share
2237,0.004004004,0.00019325789,7.290587e-06
881,0.0028361694,0.00019321364,7.2889175e-06
2315,0.002002002,0.00019171713,7.2324624e-06
2700,0.000667334,0.00019133443,7.218025e-06
3318,0.002002002,0.00019056526,7.1890086e-06
2067,0.0018351685,0.00018691253,7.0512106e-06
1495,0.0015015015,0.00018451824,6.960887e-06
2909,0.001668335,0.00018154745,6.848815e-06
435,0.0011678345,0.00018131621,6.8400914e-06
2061,0.0015015015,0.00018034743,6.8035442e-06
2728,0.0018351685,0.00017905366,6.7547376e-06
2177,0.000667334,0.0001783295,6.7274186e-06
1090,0.0035035035,0.00017665313,6.6641783e-06
227,0.0018351685,0.00017631201,6.6513094e-06
3818,0.0025025024,0.00017537361,6.615909e-06
1433,0.001668335,0.0001728468,6.520586e-06
1558,0.0011678345,0.00017211435,6.492954e-06
476,0.003003003,0.00017188721,6.4843853e-06
3691,0.001001001,0.00017048218,6.4313813e-06
1242,0.003003003,0.00016948959,6.393936e-06
763,0.0021688356,0.00016876114,6.3664556e-06
505,0.001668335,0.00016863548,6.3617154e-06
3896,0.0011678345,0.00016731714,6.311981e-06
3998,0.001668335,0.00016686373,6.2948766e-06
2185,0.0005005005,0.00016429837,6.198099e-06
2319,0.0021688356,0.00016357489,6.170806e-06
332,0.001001001,0.0001621802,6.118192e-06
594,0.001001001,0.00016060364,6.0587167e-06
143,0.001001001,0.00016046288,6.0534067e-06
3428,0.0011678345,0.00016035959,6.04951e-06
3272,0.001001001,0.00016025781,6.0456705e-06
876,0.0021688356,0.00015893913,5.995924e-06
1455,0.0031698365,0.00015885837,5.992877e-06
851,0.00333667,0.00015654122,5.9054637e-06
317,0.0015015015,0.00015641836,5.9008285e-06
1389,0.0008341675,0.00015443361,5.8259548e-06
2996,0.0015015015,0.00015288203,5.7674215e-06
3832,0.0008341675,0.00014983835,5.6526e-06
3378,0.0011678345,0.00014648918,5.526254e-06
3574,0.0008341675,0.000146058,5.509987e-06
175,0.001001001,0.00014541262,5.4856405e-06
1413,0.001334668,0.00014477951,5.4617567e-06
3035,0.001001001,0.00014372409,5.4219413e-06
960,0.0021688356,0.0001420859,5.3601416e-06
3427,0.0031698365,0.00014137343,5.3332637e-06
3435,0.001668335,0.00013912916,5.2485993e-06
610,0.0018351685,0.00013904124,5.2452824e-06
645,0.0018351685,0.0001381514,5.211714e-06
4067,0.0028361694,0.00013731665,5.180223e-06
3486,0.000667334,0.00013730906,5.179937e-06
4026,0.0011678345,0.00013706756,5.170826e-06
1891,0.001001001,0.00013700004,5.168279e-06
3530,0.0008341675,0.00013614506,5.1360253e-06
765,0.0008341675,0.00013508972,5.096213e-06
244,0.001001001,0.00013473425,5.082803e-06
878,0.0008341675,0.00013471945,5.0822446e-06
1491,0.0018351685,0.0001340091,5.0554468e-06
3125,0.001001001,0.00013337392,5.031485e-06
1393,0.0011678345,0.00013239522,4.994564e-06
1060,0.0015015015,0.00013205757,4.981826e-06
2801,0.000667334,0.00012985467,4.8987226e-06
2453,0.0031698365,0.00012919295,4.8737593e-06
2356,0.002002002,0.00012900888,4.8668157e-06
1071,0.0018351685,0.0001285591,4.8498478e-06
1971,0.000333667,0.0001267705,4.7823733e-06
982,0.0011678345,0.00012250475,4.621449e-06
1218,0.000667334,0.00012219905,4.609917e-06
3116,0.001001001,0.0001220478,4.604211e-06
1827,0.001334668,0.00012141151,4.580207e-06
2037,0.0005005005,0.00012016171,4.533059e-06
2246,0.001334668,0.00011994428,4.524856e-06
479,0.001334668,0.00011976474,4.5180836e-06
3342,0.0028361694,0.00011968273,4.5149895e-06
3833,0.001001001,0.00011657349,4.3976943e-06
721,0.0008341675,0.000115904244,4.3724476e-06
2060,0.001001001,0.000114952716,4.3365512e-06
4044,0.002002002,0.0001144419,4.3172813e-06
2462,0.002002002,0.000113417045,4.2786187e-06
911,0.000667334,0.00011301882,4.2635957e-06
3413,0.001001001,0.000112561655,4.2463494e-06
2812,0.000667334,0.00011158683,4.2095744e-06
882,0.0008341675,0.00011124653,4.196737e-06
2925,0.002669336,0.000110432375,4.1660232e-06
3313,0.0008341675,0.00010862464,4.097827e-06
1351,0.001668335,0.000108607754,4.09719e-06
3582,0.0011678345,0.00010830992,4.085954e-06
1427,0.0008341675,0.000108215274,4.082384e-06
66,0.0015015015,0.00010727766,4.0470127e-06
3949,0.002669336,0.00010589961,3.9950264e-06
615,0.000667334,0.00010561949,3.9844585e-06
772,0.0015015015,0.00010561476,3.9842803e-06
2299,0.001668335,0.00010466598,3.948488e-06
