image_idx,image_name,level,rank,base_neuron,base_act,lora_neuron,lora_act,match,base_neuron_in_lora_rank,lora_neuron_in_base_rank
29,AnnualCrop_1024.jpg,global,2,38459,19.4419,38459,20.2806,True,2,2
29,AnnualCrop_1024.jpg,global,3,4594,15.2517,4594,15.5205,True,3,3
29,AnnualCrop_1024.jpg,global,4,41801,11.8634,41801,12.065,True,4,4
29,AnnualCrop_1024.jpg,global,5,33331,8.0084,33331,8.4338,True,5,5
29,AnnualCrop_1024.jpg,patch88,1,38515,1.3778,38515,1.6283,True,1,1
29,AnnualCrop_1024.jpg,patch88,2,40545,1.0635,25790,1.3501,False,3,4
29,AnnualCrop_1024.jpg,patch88,3,29095,0.9296,40545,1.0622,False,,2
29,AnnualCrop_1024.jpg,patch88,4,25790,0.9293,34321,0.8305,False,2,5
29,AnnualCrop_1024.jpg,patch88,5,34321,0.7641,16439,0.7738,False,4,
30,AnnualCrop_1025.jpg,global,1,2099,21.8742,2099,22.4902,True,1,1
30,AnnualCrop_1025.jpg,global,2,38459,21.8575,38459,22.3057,True,2,2
30,AnnualCrop_1025.jpg,global,3,4594,16.4428,4594,16.8071,True,3,3
30,AnnualCrop_1025.jpg,global,4,41801,13.5346,41801,14.3867,True,4,4
30,AnnualCrop_1025.jpg,global,5,33331,9.4537,33331,9.1914,True,5,5
30,AnnualCrop_1025.jpg,patch88,1,7279,1.1121,25790,1.2344,False,,3
30,AnnualCrop_1025.jpg,patch88,2,22832,0.9778,38515,1.177,False,,
30,AnnualCrop_1025.jpg,patch88,3,25790,0.9266,43695,0.9782,False,1,
30,AnnualCrop_1025.jpg,patch88,4,37416,0.9035,19999,0.7446,False,,
30,AnnualCrop_1025.jpg,patch88,5,45159,0.9026,30086,0.6871,False,,
31,AnnualCrop_1026.jpg,global,1,2099,21.3716,2099,22.6984,True,1,1
31,AnnualCrop_1026.jpg,global,2,38459,20.9651,38459,22.0524,True,2,2
31,AnnualCrop_1026.jpg,global,3,4594,16.6641,4594,17.3604,True,3,3
31,AnnualCrop_1026.jpg,global,4,41801,13.8985,41801,14.4366,True,4,4
31,AnnualCrop_1026.jpg,global,5,33331,8.7372,33331,9.3925,True,5,5
